Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,movie_id
44,Asteroid City,-,-,-,"$28,153,025",1901,"$28,153,025",Jun 16,Focus Features,False,1592820481
45,Magic Mike's Last Dance,-,-,-,"$26,005,156",3034,"$26,005,156",Feb 10,Warner Bros.,False,503218945
46,Strays,-,-,-,"$23,801,335",3232,"$22,045,000",Aug 18,Universal Pictures,False,3174007553
47,My Big Fat Greek Wedding 3,-,-,-,"$21,633,230",3678,"$21,633,230",Sep 8,Focus Features,False,780174081
48,A Haunting in Venice,-,-,-,"$20,796,729",3305,"$20,796,729",Sep 15,Walt Disney Studios Motion Pictures,False,216040193
49,"Are You There God? It's Me, Margaret.",-,-,-,"$20,372,406",3343,"$20,372,406",Apr 28,Lionsgate,False,4079649537
50,The Pope's Exorcist,-,-,-,"$20,009,380",3178,"$20,009,380",Apr 14,Screen Gems,False,1187939073
51,The Blackening,-,-,-,"$17,707,207",1775,"$17,707,207",Jun 16,Lionsgate,False,2565833473
52,Book Club: The Next Chapter,-,-,-,"$17,556,340",3513,"$17,556,340",May 12,Focus Features,False,1943044865
53,Pathaan,-,-,-,"$17,487,476",697,"$17,487,476",Jan 25,Yash Raj Films USA Inc.,False,1474921217
54,Black Panther: Wakanda Forever,-,-,-,"$17,329,414",4396,"$453,829,060",Nov 11,Walt Disney Studios Motion Pictures,False,3573908993
55,Renfield,-,-,-,"$17,152,625",3378,"$17,152,625",Apr 14,Universal Pictures,False,590381825
56,The Covenant,-,-,-,"$16,938,039",2631,"$16,938,039",Apr 21,Metro-Goldwyn-Mayer (MGM),False,1928692481
57,Champions,-,-,-,"$16,271,910",3039,"$16,271,910",Mar 10,Focus Features,False,2395767553
58,"Ruby Gillman, Teenage Kraken",-,-,-,"$15,753,600",3408,"$15,753,600",Jun 30,DreamWorks,False,176587521
59,Titanic25 Year Anniversary,-,-,-,"$15,033,795",2464,"$15,033,795",Feb 10,Paramount Pictures,False,
60,The Last Voyage of the Demeter,-,-,-,"$13,637,180",2715,"$13,637,180",Aug 11,Universal Pictures,False,2382856961
61,Jawan,-,-,-,"$12,915,011",826,"$12,915,011",Sep 7,Yash Raj Films USA Inc.,False,2106360577
62,Joy Ride,-,-,-,"$12,897,789",2820,"$12,897,789",Jul 7,Lionsgate,False,2732688129
63,The Whale,-,-,-,"$12,269,350",1721,"$17,463,630",Dec 9,A24,False,4040786689
64,About My Father,-,-,-,"$12,089,391",2464,"$12,089,391",May 26,Lionsgate,False,2950791937
65,His Only Son,-,-,-,"$12,084,084",1930,"$12,084,084",Mar 31,Angel Studios,False,528515841
66,Past Lives,-,-,-,"$10,923,569",906,"$10,923,569",Jun 2,A24,False,3498410753
67,Suzume,-,-,-,"$10,760,901",2170,"$10,760,901",Apr 14,Crunchyroll,False,2163311361
68,The Machine,-,-,-,"$10,458,331",2409,"$10,458,331",May 26,Sony Pictures Entertainment (SPE),False,3287778049
69,Whitney Houston: I Wanna Dance with Somebody,-,-,-,"$10,451,167",3625,"$23,708,080",Dec 23,TriStar Pictures,False,101810945
70,Bottoms,-,-,-,"$10,437,562",1265,"$10,437,562",Aug 25,Orion Pictures,False,93946625
71,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,-,-,-,"$10,117,806",1774,"$10,117,806",Mar 3,Crunchyroll,False,3313664769
72,House Party,-,-,-,"$9,002,247",1400,"$9,002,247",Jan 13,Warner Bros.,False,1456964353
73,Everything Everywhere All at Once,-,-,-,"$8,410,284",2220,"$77,191,785",Mar 25,A24,False,3861218049
74,Beau Is Afraid,-,-,-,"$7,740,323",2125,"$8,176,562",Apr 14,A24,False,1022984961
75,The Hill,-,-,-,"$7,324,145",1703,"$7,324,145",Aug 25,Briarcliff Entertainment,False,1476166401
76,Sisu,-,-,-,"$7,265,622",1006,"$7,265,622",Apr 28,Lionsgate,False,2306900737
77,Star Wars: Episode VI - Return of the Jedi2023 Re-release,-,-,-,"$7,259,924",475,"$7,259,924",Apr 28,-,False,
78,Coraline2023 Re-release (remastered),-,-,-,"$7,149,366",1469,"$7,149,366",Aug 14,-,False,
79,Retribution,-,-,-,"$6,879,095",1750,"$6,879,095",Aug 25,Roadside Attractions,False,178029313
80,Operation Fortune: Ruse de Guerre,-,-,-,"$6,496,125",2168,"$6,496,125",Mar 3,Lionsgate,False,3305145089
81,BTS: Yet to Come in Cinemas,-,-,-,"$6,350,496",1210,"$8,093,270",Feb 1,Trafalgar Releasing,False,1828487937
82,Babylon,-,-,-,"$6,268,558",3351,"$15,351,455",Dec 23,Paramount Pictures,False,2308997633
